sentence	graph	comment
The firemen arrived after the police because they were coming from so far away.	(a / arrive-01 :ARG1 (f / firemen) :time (a2 / after :op1 (p / police) :ARG1-of (c / cause-01 :ARG0 (c2 / come-01 :ARG1 f :ARG3 (f2 / far :direction (a3 / away) :degree (s / so))))))	cause-01 was added as an argument of :time instead of as an argument of arrive-01. ‘The policeman were coming from so far away’ is the reason for the firemen arriving after the police, not the reason for them arriving at all.
The firemen arrived before the police because they were coming from so far away.	(a / arrive-01 :ARG1 (f / firemen) :time (b / before :op1 (p / police) :ARG1-of (c / cause-01 :ARG0 (c2 / come-01 :ARG1 p :ARG3 (f2 / far :direction (a2 / away) :degree (s / so))))))	
Frank was upset with Tom because the toaster he had bought from him didn't work.	(u / upset-01 :ARG0 (p / person :name (n / name :op1 "Tom")) :ARG1 (p2 / person :name (n2 / name :op1 "Frank")) :ARG1-of (c / cause-01 :ARG0 (w / work-09 :polarity - :ARG1 (t / toaster :ARG1-of (b / buy-01 :ARG0 p2 :ARG2 p)))))	
Frank was upset with Tom because the toaster he had sold him didn't work.	(u / upset-01 :ARG0 (p / person :name (n / name :op1 "Tom")) :ARG1 (p2 / person :name (n2 / name :op1 "Frank")) :ARG1-of (c / cause-01 :ARG0 (w / work-09 :polarity - :ARG1 (t / toaster :ARG1-of (s / sell-01 :ARG0 p :ARG2 p2)))))	
Jim yelled at Kevin because he was so upset.	(y / yell-01 :ARG0 (p / person :name (n / name :op1 "Jim")) :ARG2 (p2 / person :name (n2 / name :op1 "Kevin")) :ARG1-of (c / cause-01 :ARG0 (u / upset-01 :ARG1 p :degree (s / so))))	
Jim comforted Kevin because he was so upset.	(c / comfort-01 :ARG0 (p / person :name (n / name :op1 "Jim")) :ARG1 (p2 / person :name (n2 / name :op1 "Kevin")) :ARG1-of (c2 / cause-01 :ARG0 (u / upset-01 :ARG1 p2 :degree (s / so))))	
The sack of potatoes had been placed above the bag of flour, so it had to be moved first.	(p / place-01 :ARG1 (p2 / potato :quant (s / sack)) :ARG2 (a / above :op1 (f / flour :quant (b / bag))) :ARG0-of (c / cause-01 :ARG1 (o / obligate-01 :ARG2 (m / move-01 :ARG1 p2 :time (f2 / first)))))	
The sack of potatoes had been placed below the bag of flour, so it had to be moved first.	(p / place-01 :ARG1 (p2 / potato :quant (s / sack)) :ARG2 (b / below :op1 (f / flour :quant (b2 / bag))) :ARG0-of (c / cause-01 :ARG1 (o / obligate-01 :ARG2 (m / move-01 :ARG1 f :time (f2 / first)))))	
Pete envies Martin although he is very successful.	(e / envy-01 :ARG0 (p / person :name (n / name :op1 "Pete")) :ARG1 (p2 / person :name (n2 / name :op1 "Martin")) :concession (s / succeed-01 :ARG0 p :degree (v / very)))	
Pete envies Martin because he is very successful.	(e / envy-01 :ARG0 (p / person :name (n / name :op1 "Pete")) :ARG1 (p2 / person :name (n2 / name :op1 "Martin")) :ARG1-of (c / cause-01 :ARG0 (s / succeed-01 :ARG0 p2 :degree (v / very))))	
