ENG_DF_000170_20050903_C00020J0V_0001.42	loose-03
ENG_DF_000170_20050903_C00020J0V_0001.11	take-in-06
bolt12_6455_6561.29	yellow-01
PROXY_NYT_ENG_20040724_0084.7	precaution-02
bolt12_91455_5310.1	embrace-02
ENG_DF_000170_20050903_C00020J0V_0001.35	take-in-06
PROXY_NYT_ENG_20081128_0005.7	retreat-02
DF-200-192400-625_7200.16	drill-02
bolt12_6455_6562.8	abandon-03
NW_AFP_ENG_0010_2003_0401.2	incumbency-01
NW_AFP_ENG_0011_2003_0417.1	hack-01
NW_XIN_ENG_0195_2008_0420.16	pass-06
PROXY_NYT_ENG_20020406_0118.6	turn-off-07
NW_AFP_ENG_0019_2003_0630.6	take-up-38
bolt12_6455_6562.14	paint-01
DF-200-192400-625_7744.2	go-31
NW_AFP_ENG_0016_2003_0527.5	chill-01
PROXY_NYT_ENG_20081008_0040.33	unload-02
NW_XIN_ENG_0191_2005_0405.1	precaution-02
PROXY_NYT_ENG_20040724_0084.35	inaugurate-02
wb.eng_0003.39	oblige-01
ENG_DF_000170_20050903_C00020J0V_0001.57	meet-05
bolt12_64556_5627.3	bump-01
bolt12_6455_6561.12	stream-01
wb.eng_0003.43	pave-02
DF-200-192400-625_7806.10	tense-01
wb.eng_0003.47	hammer-02
NW_XIN_ENG_0209_2008_0513.12	stroke-01
PROXY_NYT_ENG_20040724_0084.42	busy-02
bolt12_9145_5532.1	low-03
NW_AFP_ENG_0019_2003_0630.19	cross-01
PROXY_XIN_ENG_20020725_0113.18	flexible-03
bolt12_64556_5628.1	bump-02
DF-200-192400-625_7806.3	ring-01
NW_AFP_ENG_0017_2003_0607.8	brace-01
wb.eng_0003.92	go-07
NW_AFP_ENG_0019_2003_0630.2	take-up-38
NW_AFP_ENG_0011_2003_0417.7	black-06
ENG_DF_000170_20050903_C00020J0V_0001.37	take-in-06
DF-200-192400-625_7046.9	socialize-01
NW_AFP_ENG_0019_2003_0630.5	shed-03
NW_AFP_ENG_0019_2003_0630.20	cross-01
DF-200-192400-625_7046.16	work-10
PROXY_XIN_ENG_20020725_0113.12	net-03
NW_XIN_ENG_0191_2005_0405.3	precaution-01
NW_AFP_ENG_0013_2003_0427.10	late-03
PROXY_LTW_ENG_20080727_0030.8	articulate-01
NW_AFP_ENG_0019_2003_0630.11	grind-05
NW_XIN_ENG_0209_2008_0513.3	stroke-01
NW_AFP_ENG_0011_2003_0417.8	black-06
bolt12_9145_5538.1	dawn-01
DF-200-192400-625_7046.6	beat-02
DF-200-192400-625_6304.6	set-14
DF-200-192400-625_7046.4	quiet-03
NW_XIN_ENG_0194_2007_0704.7	pack-05
PROXY_NYT_ENG_20050716_0171.28	work-out-05
PROXY_LTW_ENG_20070831_0072.24	design-02
ENG_DF_000170_20050903_C00020J0V_0001.27	get-back-25
NW_XIN_ENG_0191_2005_0405.15	thick-02
PROXY_NYT_ENG_20040724_0084.25	prompt-02
DF-200-192400-625_6677.1	dull-01
NW_AFP_ENG_0017_2003_0607.7	reel-01
PROXY_NYT_ENG_20020406_0118.40	tug-02
DF-200-192400-625_6344.25	abuse-03
bolt12_91455_5322.1	frame-02
bolt12_64556_5627.1	compose-02
bolt12_9145_5531.5	frame-02
NW_AFP_ENG_0011_2003_0417.5	black-06
PROXY_LTW_ENG_20081115_0076.13	strike-05
NW_AFP_ENG_0019_2003_0630.21	cross-01
bolt12_6455_6562.13	compose-02
bolt12_6455_6562.20	tender-02
ENG_DF_000170_20050903_C00020J0V_0001.55	service-06
