PROXY_NYT_ENG_20040724_0084.8	:month 10 :year 2004
PROXY_XIN_ENG_20021228_0162.8	:day 22 :month 12 :year 2002
PROXY_LTW_ENG_20070930_0021.14	:month 9 :year 2007
PROXY_NYT_ENG_20020406_0118.37	:month 1 :year 2001
PROXY_XIN_ENG_20041010_0024.14	:year 2008
PROXY_XIN_ENG_20041010_0024.14	:year 2009
PROXY_XIN_ENG_20030624_0298.5	:day 3 :month 6 :year 2003
nw.chtb_0318.13	:day 13
NW_XIN_ENG_0198_2008_1218.2	:day 18 :month 12
NW_XIN_ENG_0198_2008_1218.3	
nw.chtb_0322.16	:day 1 :month 9
nw.chtb_0322.16	:day 2
wb.eng_0003.58	
PROXY_XIN_ENG_20041219_0059.10	:month 6
NW_XIN_ENG_0190_2003_0709.4	:time "23:10"
NW_XIN_ENG_0190_2003_0709.4	:time "2:00"
PROXY_XIN_ENG_20020725_0113.8	:day 18 :month 7 :year 2002
NW_AFP_ENG_0019_2003_0630.1	
nw.chtb_0318.12	:day 2
NW_AFP_ENG_0012_2003_0419.7	
NW_XIN_ENG_0194_2007_0704.4	
NW_XIN_ENG_0195_2008_0420.7	:time "22:00"
NW_XIN_ENG_0195_2008_0420.3	
NW_XIN_ENG_0191_2005_0405.11	
NW_AFP_ENG_0015_2003_0514.1	
PROXY_NYT_ENG_20020406_0118.21	:year 1997
PROXY_NYT_ENG_20050716_0171.41	:year 2003
PROXY_NYT_ENG_20050716_0171.41	:year 1998
PROXY_NYT_ENG_20050716_0171.41	:year 2001
PROXY_LTW_ENG_20081115_0076.17	:month 10 :year 2008
nw.chtb_0303.1	:day 1 :month 9
PROXY_XIN_ENG_20031107_0242.17	:year 2002
PROXY_NYT_ENG_20070828_0223.9	:day 28 :month 8 :year 2007
PROXY_XIN_ENG_20041010_0024.15	:year 1990
PROXY_XIN_ENG_20041010_0024.15	:year 2003
NW_AFP_ENG_0016_2003_0527.6	:month 2
NW_AFP_ENG_0016_2003_0527.6	
PROXY_LTW_ENG_20080727_0030.33	:month 5 :year 2008
PROXY_NYT_ENG_20080808_0162.31	:day 8 :month 8 :year 2008
PROXY_NYT_ENG_20050716_0171.62	:year 2004
PROXY_XIN_ENG_20021228_0162.5	:day 28 :month 12 :year 2002
PROXY_NYT_ENG_20050716_0171.44	:year 2005
NW_AFP_ENG_0016_2003_0527.2	:day 1 :month 6
NW_AFP_ENG_0012_2003_0419.10	
PROXY_XIN_ENG_20021228_0162.14	:day 27 :month 1 :year 2003
NW_AFP_ENG_0017_2003_0607.7	:month 5
PROXY_XIN_ENG_20040429_0189.11	:century 18
PROXY_NYT_ENG_20050716_0171.52	:month 6 :year 2005
PROXY_XIN_ENG_20020701_0314.16	:year 2001
NW_AFP_ENG_0017_2003_0607.1	
PROXY_XIN_ENG_20040429_0189.17	:year 2010
nw.chtb_0303.3	:day 6 :month 9
nw.chtb_0303.3	:day 11 :month 9
PROXY_XIN_ENG_20020725_0113.16	:month 2 :year 2002
PROXY_XIN_ENG_20031107_0242.5	:year 2003
NW_AFP_ENG_0013_2003_0427.5	:year 1998
NW_XIN_ENG_0209_2008_0513.3	
NW_AFP_ENG_0014_2003_0502.4	
PROXY_XIN_ENG_20040407_0026.10	:month 2 :year 2004
PROXY_XIN_ENG_20040407_0026.10	:year 2007
nw.chtb_0318.2	
PROXY_XIN_ENG_20030428_0226.1	:day 28 :month 4 :year 2003
NW_AFP_ENG_0014_2003_0502.1	
NW_AFP_ENG_0014_2003_0502.11	:year 2002
PROXY_XIN_ENG_20021228_0162.12	:day 28 :month 12 :year 2002
NW_XIN_ENG_0189_2003_0324.4	:time "14:30"
PROXY_XIN_ENG_20020725_0113.15	:month 7 :year 2002
NW_AFP_ENG_0013_2003_0427.4	:year 1985
NW_XIN_ENG_0194_2007_0704.10	
NW_AFP_ENG_0019_2003_0630.6	
PROXY_XIN_ENG_20030428_0226.13	:year 2002
PROXY_NYT_ENG_20080808_0162.32	:day 8 :month 8 :year 2008
PROXY_XIN_ENG_20030428_0226.18	:day 28 :month 4 :year 2003
NW_XIN_ENG_0191_2005_0405.9	
PROXY_NYT_ENG_20071115_0274.5	:year 1998
PROXY_XIN_ENG_20041010_0024.11	:year 2003
PROXY_XIN_ENG_20041010_0024.11	:year 2005
PROXY_LTW_ENG_20080727_0030.7	:month 4 :year 2008
NW_AFP_ENG_0018_2003_0616.4	:month 1
NW_AFP_ENG_0009_2003_0330.5	:month 1
ENG_DF_000170_20050903_C00020J0V_0001.53	
PROXY_NYT_ENG_20050716_0171.27	:month 5 :year 2005
PROXY_XIN_ENG_20040407_0026.7	:year 2002
PROXY_LTW_ENG_20070831_0072.8	:day 11 :month 9 :year 2007
NW_XIN_ENG_0189_2003_0324.7	
PROXY_NYT_ENG_20050716_0171.34	:year 1992
NW_AFP_ENG_0009_2003_0330.4	:time "15:00"
NW_AFP_ENG_0009_2003_0330.4	:time "6:00" :timezone "GMT"
NW_XIN_ENG_0195_2008_0420.2	:day 20 :month 4
NW_AFP_ENG_0016_2003_0527.1	
NW_AFP_ENG_0016_2003_0527.1	
NW_AFP_ENG_0009_2003_0330.7	
PROXY_XIN_ENG_20030624_0298.9	:day 22 :month 6 :year 2003
DF-200-192400-625_7046.3	:month 12 :year 2009
DF-200-192400-625_7046.3	:month 3
NW_AFP_ENG_0012_2003_0419.9	
NW_AFP_ENG_0010_2003_0401.2	:month 9
NW_XIN_ENG_0190_2003_0709.2	:day 9 :month 7
PROXY_NYT_ENG_20020406_0118.1	:day 6 :month 4 :year 2002
PROXY_LTW_ENG_20081115_0076.1	:day 14 :month 11 :year 2008
PROXY_XIN_ENG_20040429_0189.28	:year 2003
PROXY_NYT_ENG_20040724_0084.38	:year 2003
PROXY_NYT_ENG_20080808_0162.6	:day 8 :month 8 :year 2008
NW_AFP_ENG_0015_2003_0514.7	:day 27 :month 2
PROXY_XIN_ENG_20030428_0226.19	
PROXY_XIN_ENG_20030624_0298.19	:decade 1980
PROXY_NYT_ENG_20050716_0171.53	:month 6 :year 2005
NW_AFP_ENG_0009_2003_0330.1	
PROXY_XIN_ENG_20021020_0012.12	:month 8 :year 2002
NW_XIN_ENG_0190_2003_0709.3	
PROXY_NYT_ENG_20050716_0171.12	:decade 1990
PROXY_NYT_ENG_20080808_0162.29	:year 2008
DF-199-194215-653_0484.2	:month 8
PROXY_NYT_ENG_20040724_0084.9	:year 1998
PROXY_NYT_ENG_20040724_0084.9	:year 1995
PROXY_NYT_ENG_20040724_0084.9	:year 2003
NW_AFP_ENG_0010_2003_0401.7	:month 11 :year 2001
NW_AFP_ENG_0010_2003_0401.1	
PROXY_NYT_ENG_20080808_0162.9	:day 8 :month 8 :year 2008
PROXY_NYT_ENG_20040724_0084.35	:year 2002
nw.chtb_0305.1	:day 23 :month 4
PROXY_XIN_ENG_20030428_0226.6	:day 28 :month 4 :year 2003
PROXY_XIN_ENG_20020701_0314.15	:month 10 :year 2000
PROXY_XIN_ENG_20021228_0162.4	:day 28 :month 12 :year 2002
PROXY_XIN_ENG_20031107_0242.10	:month 6 :year 2003
PROXY_NYT_ENG_20070828_0223.5	:month 12 :year 2007
PROXY_NYT_ENG_20070618_0031.5	:month 12 :year 2007
PROXY_NYT_ENG_20070618_0031.5	:month 6 :year 2007
DF-200-192400-625_6304.3	
PROXY_NYT_ENG_20070618_0031.12	:month 2 :year 2007
PROXY_XIN_ENG_20030624_0298.17	:decade 1970
DF-200-192400-625_6304.1	:month 9
PROXY_NYT_ENG_20050716_0171.23	:year 1998
NW_XIN_ENG_0195_2008_0420.11	
PROXY_NYT_ENG_20070618_0031.20	:month 12 :year 2007
PROXY_XIN_ENG_20021228_0162.1	:day 28 :month 12 :year 2002
nw.chtb_0324.14	
PROXY_NYT_ENG_20081128_0005.8	:day 27 :month 11 :year 2008
nw.chtb_0318.1	:day 1 :month 9
NW_AFP_ENG_0012_2003_0419.3	
PROXY_XIN_ENG_20041219_0059.7	:month 6 :year 2004
PROXY_XIN_ENG_20031107_0242.8	:month 5 :year 2003
PROXY_NYT_ENG_20080808_0162.1	:day 8 :month 8 :year 2008
DF-200-192400-625_6344.29	
NW_AFP_ENG_0019_2003_0630.20	:year 1993
NW_AFP_ENG_0012_2003_0419.6	
ENG_DF_000170_20050903_C00020J0V_0001.45	:day 2 :month 9
NW_AFP_ENG_0018_2003_0616.1	:day 8 :month 6
