PROXY_NYT_ENG_20020406_0118.37	:month 2 :year 2001
ENG_NA_020001_20161020_G0023FSWC_0001.6	:day 16 :month 2 :time "7:53" :year 2010
ENG_NA_020001_20161020_G0023FSUQ_0001.5	:day 24 :month 1 :time "11:09" :year 2010
PROXY_LTW_ENG_20080727_0030.1	:day 26 :month 7 :year 2008
PROXY_XIN_ENG_20021123_0156.1	:day 23 :month 11 :year 2002
PROXY_XIN_ENG_20040922_0123.6	:day 22 :month 9 :year 2004
PROXY_NYT_ENG_20070618_0031.14	:day 14 :month 6 :year 2007
ENG_NA_020001_20161020_G0023FSV3_0001.8	:day 18 :month 1 :time "8:36" :year 2010
ENG_NA_020001_20161020_G0023FSUO_0001.9	:day 22 :month 1 :time "13:19" :year 2010
PROXY_XIN_ENG_20020829_0017.12	:day 28 :month 8 :year 2002
PROXY_XIN_ENG_20031107_0242.4	:day 7 :month 11 :year 2003
PROXY_XIN_ENG_20031107_0242.4	:day 8 :month 11 :year 2003
PROXY_XIN_ENG_20020725_0113.8	:day 24 :month 7 :year 2002
PROXY_XIN_ENG_20020905_0122.11	:day 29 :month 8 :year 2002
ENG_NA_020001_20161020_G0023FSWB_0001.6	:day 4 :month 2 :time "0:13" :year 2010
PROXY_NYT_ENG_20040724_0084.11	:month 4 :year 2001
ENG_NA_020001_20161020_G0023FSUZ_0001.8	:day 5 :month 2 :time "13:11" :year 2010
PROXY_LTW_ENG_20070831_0072.14	:day 30 :month 8 :year 2007
PROXY_XIN_ENG_20040429_0189.6	:day 29 :month 4 :year 2004
NW_XIN_ENG_0196_2008_1027.2	:day 27 :month 10
NW_XIN_ENG_0198_2008_1218.6	:time "16:20"
NW_XIN_ENG_0198_2008_1218.6	:time "3:20" :timezone "GMT"
ENG_NA_020001_20161020_G0023FSW0_0001.5	:day 20 :month 1 :time "13:29" :year 2010
ENG_NA_020001_20161020_G0023FSVS_0001.6	:day 22 :month 1 :time "12:36" :year 2010
PROXY_XIN_ENG_20040403_0262.1	:day 3 :month 4 :year 2004
PROXY_XIN_ENG_20021020_0012.5	:day 19 :month 10 :year 2002
PROXY_XIN_ENG_20021020_0012.5	:day 20 :month 10 :year 2002
PROXY_LTW_ENG_20081115_0076.17	:month 2 :year 2008
PROXY_NYT_ENG_20080919_0209.8	:day 18 :month 9 :year 2008
PROXY_NYT_ENG_20080919_0209.8	:day 19 :month 9 :year 2008
ENG_NA_020001_20161020_G0023FSVE_0001.5	:day 9 :month 2 :time "3:19" :year 2010
PROXY_NYT_ENG_20081128_0005.1	:day 28 :month 11 :year 2008
PROXY_XIN_ENG_20020725_0113.11	:day 25 :month 7 :year 2002
ENG_NA_020001_20161020_G0023FSVA_0001.5	:day 19 :month 1 :time "10:34" :year 2010
PROXY_XIN_ENG_20020829_0017.1	:day 29 :month 8 :year 2002
ENG_NA_020001_20161020_G0023FSVH_0001.7	:day 19 :month 2 :time "6:55" :year 2010
PROXY_XIN_ENG_20020905_0122.14	:day 13 :month 11 :year 2002
NW_AFP_ENG_0016_2003_0527.2	:day 3 :month 6
PROXY_NYT_ENG_20070618_0031.1	:day 18 :month 6 :year 2007
PROXY_XIN_ENG_20020725_0113.1	:day 25 :month 7 :year 2002
ENG_NA_020001_20161020_G0023FSVV_0001.8	:day 19 :month 1 :time "21:50" :year 2010
ENG_NA_020001_20161020_G0023FSV9_0001.6	:day 21 :month 1 :time "11:18" :year 2010
NW_XIN_ENG_0196_2008_1027.4	:time "4:12"
NW_XIN_ENG_0196_2008_1027.4	:time "21:12" :timezone "GMT"
PROXY_XIN_ENG_20040403_0262.5	:day 3 :month 4 :year 2004
PROXY_XIN_ENG_20031107_0242.5	:day 8 :month 11 :year 2003
PROXY_XIN_ENG_20031107_0242.5	:day 7 :day 8 :month 11 :month 11 :year 2003
ENG_NA_020001_20161020_G0023FSW5_0001.7	:day 20 :month 1 :time "8:45" :year 2010
ENG_NA_020001_20161020_G0023FSVZ_0001.6	:day 8 :month 2 :time "13:52" :year 2010
ENG_NA_020001_20161020_G0023FSUM_0001.7	:day 20 :month 1 :time "8:17" :year 2010
ENG_NA_020001_20161020_G0023FSVF_0001.6	:day 18 :month 1 :time "7:07" :year 2010
PROXY_LTW_ENG_20081115_0076.8	:day 13 :month 11 :year 2008
ENG_NA_020001_20161020_G0023FSVW_0001.8	:day 3 :month 2 :time "1:16" :year 2010
NW_XIN_ENG_0189_2003_0324.4	:time "11:30" :timezone "GMT"
ENG_NA_020001_20161020_G0023FSUW_0001.5	:day 16 :month 2 :time "9:04" :year 2010
ENG_NA_020001_20161020_G0023FSWD_0001.5	:day 19 :month 2 :time "16:45" :year 2010
ENG_NA_020001_20161020_G0023FSV6_0001.5	:day 24 :month 1 :time "7:10" :year 2010
PROXY_LTW_ENG_20081115_0076.7	:day 13 :month 11 :year 2008
PROXY_LTW_ENG_20070930_0021.1	:day 30 :month 9 :year 2007
PROXY_XIN_ENG_20011006_0073.6	:day 5 :month 10 :year 2001
ENG_NA_020001_20161020_G0023FSV2_0001.5	:day 19 :month 1 :time "17:40" :year 2010
NW_XIN_ENG_0191_2005_0405.2	:day 5 :month 4
ENG_NA_020001_20161020_G0023FSUS_0001.6	:day 8 :month 3 :time "9:45" :year 2010
ENG_NA_020001_20161020_G0023FSW7_0001.5	:day 9 :month 2 :time "13:25" :year 2010
PROXY_XIN_ENG_20020829_0017.6	:day 29 :month 8 :year 2002
ENG_NA_020001_20161020_G0023FSUN_0001.5	:day 20 :month 2 :time "13:51" :year 2010
