PROXY_XIN_ENG_20021228_0162.8	Al Kindi
PROXY_XIN_ENG_20020829_0017.8	Kathmandu
PROXY_NYT_ENG_20020406_0118.37	United Energy Systems
nw.chtb_0318.6	Souyasen
nw.chtb_0318.6	State Welfare Ministry
PROXY_XIN_ENG_20020725_0333.7	Alto Huallaga
nw.chtb_0322.17	Weiping Nie
nw.chtb_0322.17	XunXuan Cao
ENG_DF_000170_20050903_C00020J0V_0001.25	Jewish Family Services
bolt12_6455_6561.3	Lugou Bridge
bolt12_6455_6561.3	September 18th
PROXY_NYT_ENG_20040724_0084.40	Viegas
ENG_DF_000170_20050903_C00020J0V_0001.23	Jewish Community Center Austin
NW_AFP_ENG_0017_2003_0607.5	Kalam
NW_AFP_ENG_0017_2003_0607.5	Vajpayee
ENG_NA_020001_20161020_G0023FSWB_0001.5	Canapè Vert
ENG_NA_020001_20161020_G0023FSUM_0001.4	Pelerin
PROXY_NYT_ENG_20020406_0118.25	Randall Lee Beatty
PROXY_NYT_ENG_20020406_0118.25	International Science and Technology Center
PROXY_XIN_ENG_20021123_0156.18	Tang
PROXY_XIN_ENG_20040407_0026.11	Immigrations Bureau
PROXY_XIN_ENG_20040407_0026.11	Hambali
PROXY_NYT_ENG_20080919_0209.15	Al-Sistani
PROXY_XIN_ENG_20040922_0123.6	Nikolai Tanayev
bolt12_6455_6561.26	People's Heroes Monument
PROXY_NYT_ENG_20050716_0171.25	Lorenzo Campos
PROXY_NYT_ENG_20050716_0171.25	Anzoategui
NW_XIN_ENG_0192_2005_0906.5	Molina
NW_XIN_ENG_0192_2005_0906.5	Villaraigosa
PROXY_XIN_ENG_20020725_0333.9	Attorney General's Office
nw.chtb_0318.13	Sports Meet
NW_XIN_ENG_0198_2008_1218.3	Solomon Islands
nw.chtb_0322.16	Go
nw.chtb_0322.16	Le Tian Hotel
wb.eng_0003.15	Route 288
PROXY_NYT_ENG_20050716_0171.22	Bolivarian Revolution
wb.eng_0003.96	Anonymous 6:37
PROXY_XIN_ENG_20011006_0073.10	Muslim Judicial Council
wb.eng_0003.10	Dale Totten
wb.eng_0003.10	Virginia Department of Transportation
PROXY_NYT_ENG_20050716_0171.17	Espinoza Leon
ENG_NA_020001_20161020_G0023FSVV_0001.4	Dessalines
ENG_NA_020001_20161020_G0023FSVV_0001.4	Rue Perodin
PROXY_XIN_ENG_20021020_0012.11	Kathmandu
